Hotels2,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Bluff,NZ,60.8,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
5,Jamestown,US,62.53,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
7,Ponta Do Sol,PT,64.0,broken clouds,32.6667,-17.1,Hotel do Campo
8,Laguna,US,77.43,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
9,Ariquemes,BR,76.01,scattered clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
12,Navirai,BR,64.36,overcast clouds,-23.065,-54.1906,Dubai Hotel - Também sua casa!
13,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
15,Port Alfred,ZA,71.78,clear sky,-33.5906,26.891,The Halyards Hotel
17,Axim,GH,80.78,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
19,Touros,BR,77.25,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
20,Ribeira Grande,PT,63.66,light rain,38.5167,-28.7,Quinta da Meia Eira
21,Bartlesville,US,61.18,light rain,36.7473,-95.9808,Hilton Garden Inn Bartlesville
22,Bengkulu,ID,75.54,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
23,Rikitea,PF,78.08,light rain,-23.1203,-134.9692,People ThankYou
24,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
28,Zhenjiang,CN,65.8,few clouds,32.2092,119.4342,JI Hotel Zhenjiang Railway Station
33,Kapaa,US,80.58,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
35,Riyadh,SA,87.94,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
38,Am Timan,TD,86.68,scattered clouds,11.0297,20.2827,Palais du chef Canton Salamt
41,Nieuw Amsterdam,SR,84.22,few clouds,5.8833,-55.0833,Hotel Stardust
42,Nelson Bay,AU,62.01,broken clouds,-32.7167,152.15,Mantra Nelson Bay
44,Mataura,NZ,60.48,broken clouds,-46.1927,168.8643,Ellie's Villa
45,Chitral,PK,63.07,broken clouds,35.8462,71.7858,PTDC Motel Chitral
46,Coronel Fabriciano,BR,73.44,clear sky,-19.5186,-42.6289,Panorama Convention Hotel
47,Santa Cruz Cabralia,BR,80.83,clear sky,-16.2781,-39.0247,Puerto Princesa Inn
48,Hilo,US,84.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
50,Salalah,OM,82.49,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
51,Albany,US,67.35,overcast clouds,42.6001,-73.9662,
52,Kahului,US,80.96,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
54,Pathein,MM,79.79,few clouds,16.7833,94.7333,Pathein Hotel
55,Avera,US,89.11,few clouds,33.194,-82.5271,
58,Birin,NP,60.26,overcast clouds,26.8865,88.0718,Sangam hotel and lodge
59,Port Elizabeth,ZA,64.31,clear sky,-33.918,25.5701,39 On Nile Guest House
62,Casper,US,69.73,clear sky,42.8666,-106.3131,Ramkota Hotel
63,Butaritari,KI,82.33,broken clouds,3.0707,172.7902,Isles Sunset Lodge
66,Motril,ES,63.27,clear sky,36.7507,-3.5179,Elba Motril Hotel Beach & Business Hotel
68,Acurenam,GQ,69.33,moderate rain,1.0322,10.6488,
69,Mar Del Plata,AR,64.87,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
71,Acarau,BR,78.01,scattered clouds,-2.8856,-40.12,castelo pizzaria
73,Kesinga,IN,82.49,clear sky,20.2,83.2333,Hotel Jayashree
74,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
75,Monrovia,LR,80.44,overcast clouds,6.3005,-10.7969,Sunset Inn
78,Sao Filipe,CV,73.09,scattered clouds,14.8961,-24.4956,Hotel Xaguate
79,Dimbokro,CI,76.6,broken clouds,6.6451,-4.7048,complexe hôtelier le jardin d'Eden
82,Dourados,BR,64.67,overcast clouds,-22.2211,-54.8056,Alphonsus Hotel
85,Mahebourg,MU,76.24,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
86,Faanui,PF,81.34,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
87,Lagoa,PT,62.15,overcast clouds,39.05,-27.9833,Casa Das Faias
89,Dekar,BW,60.75,clear sky,-21.5333,21.9333,
90,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
91,Bethel,US,70.36,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
94,Paraiba Do Sul,BR,68.92,clear sky,-22.1619,-43.2928,Hotel Itaoca
96,Vilhena,BR,75.42,clear sky,-12.7406,-60.1458,Hotel Mirage
97,Atuona,PF,79.12,overcast clouds,-9.8,-139.0333,Villa Enata
99,Port Macquarie,AU,64.89,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
103,Mayumba,GA,78.44,light rain,-3.432,10.6554,LIKWALE LODGE
106,Marakkanam,IN,84.4,overcast clouds,12.2,79.95,Samvasa by the Sea
107,Pouebo,NC,78.31,few clouds,-20.4,164.5667,RIVÂT LODGE
108,Duluth,US,65.07,clear sky,46.7833,-92.1066,South Pier Inn
111,Katobu,ID,75.2,overcast clouds,-4.9408,122.5276,La Ode Husein
112,Birao,CF,83.28,broken clouds,10.2849,22.7882,
114,Kavieng,PG,84.58,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
116,Coruripe,BR,78.13,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
119,Puerto Guzman,CO,70.84,moderate rain,0.9703,-76.5858,Hotel Campo Verde
120,Ouesso,CG,69.69,light rain,1.6136,16.0517,ABENIE Hotel
121,Banda Aceh,ID,78.8,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
122,Weiser,US,70.0,light rain,44.251,-116.9693,The Colonial Motel
123,Itarema,BR,77.2,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
125,Capitan Bado,PY,63.72,overcast clouds,-23.2667,-55.5333,Hotel Suiza
127,Hithadhoo,MV,84.04,heavy intensity rain,-0.6,73.0833,Scoop Guest House
130,Viedma,AR,60.71,broken clouds,-40.8135,-62.9967,Hotel Cristal
131,East London,ZA,71.38,clear sky,-33.0153,27.9116,Tu Casa
132,Pokhara,NP,67.01,broken clouds,28.2333,83.9833,OYO 170 Hotel View Point
133,Black Forest,US,65.34,clear sky,39.0131,-104.7008,Datt Properties
134,Carnarvon,AU,60.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
137,Macau,MO,75.0,scattered clouds,22.2006,113.5461,Grand Emperor Hotel
142,Texarkana,US,68.23,scattered clouds,33.4251,-94.0477,"Holiday Inn Express & Suites Texarkana, an IHG Hotel"
143,Tura,IN,68.59,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
148,Balabac,PH,82.51,broken clouds,7.9868,117.0645,Batalla’s Lodging House
150,Mackay,AU,76.68,few clouds,-21.15,149.2,International Lodge Motel
151,Pangkalanbuun,ID,73.44,scattered clouds,-2.6833,111.6167,Grand Kecubung Hotel
154,Buala,SB,83.98,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
156,Faya,SA,68.11,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
159,Victoria,HK,77.18,clear sky,22.2855,114.1577,Mini Hotel Central
161,Panama City,PA,80.17,broken clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
162,Shahrud,IR,65.52,overcast clouds,36.4182,54.9763,Royal Hotel
163,Fare,PF,81.43,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
167,Salinas,US,79.0,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
168,Tambura,SS,72.59,overcast clouds,5.6,27.4667,Rikito Lodge
170,Dallas,US,78.69,few clouds,32.7668,-96.7836,"Hotel Indigo Dallas Downtown, an IHG Hotel"
171,Guerrero Negro,MX,70.54,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
172,Amahai,ID,79.11,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
173,Hamilton,US,61.43,moderate rain,39.1834,-84.5333,Six Acres Bed & Breakfast
176,Banfora,BF,88.0,broken clouds,10.6333,-4.7667,Residences David Hebié
177,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
178,Hambantota,LK,80.94,overcast clouds,6.1241,81.1185,Bungalow 63
179,Sao Joao Da Barra,BR,74.28,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
180,San Francisco,US,75.47,overcast clouds,37.7749,-122.4194,Edwardian Hotel
182,Waddan,LY,78.82,clear sky,29.1614,16.139,محل الشريف محمد العايب
184,Payo,ID,72.41,broken clouds,-3.7508,103.6372,Mess keban agung
185,Pisco,PE,68.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
186,Vila Franca Do Campo,PT,67.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
187,Arraial Do Cabo,BR,75.16,few clouds,-22.9661,-42.0278,Pousada Porto Praia
190,Hasaki,JP,66.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
191,Juba,SS,76.5,scattered clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
192,San Quintin,MX,67.89,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
198,Bubaque,GW,78.85,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
200,Nouakchott,MR,69.73,clear sky,18.0858,-15.9785,HOTEL IMAN
202,Dakar,SN,72.48,clear sky,14.6937,-17.4441,Novotel Dakar
204,Japura,ID,74.1,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
205,Chimbote,PE,66.76,scattered clouds,-9.0853,-78.5783,Hotel Briliá
212,Kulhudhuffushi,MV,82.72,heavy intensity rain,6.6221,73.07,Haajy Guest House 1
213,Cidreira,BR,64.15,scattered clouds,-30.1811,-50.2056,Hotel Castelo
215,Jamame,SO,76.17,broken clouds,0.0722,42.7506,
217,Saint George,US,88.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
218,Uong Bi,VN,73.38,clear sky,21.0333,106.7833,khach san Trung lien
219,Gat,IL,63.28,broken clouds,31.61,34.7642,OlusHome
220,Hutang,CN,61.68,clear sky,31.5333,119.4833,Dongyuan Restaurant
221,Tabas,IR,84.42,overcast clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
222,Itoman,JP,73.42,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
223,Wanning,CN,76.46,broken clouds,18.8003,110.3967,Paradise Hotel
224,Namibe,AO,78.94,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
226,Yarada,IN,80.92,mist,17.65,83.2667,Yarada Jungle Beach Resorts
227,Huarmey,PE,69.21,broken clouds,-10.0681,-78.1522,Hotel Miramar
231,Lorengau,PG,83.23,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
233,Fukue,JP,65.25,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
234,Tchollire,CM,80.42,overcast clouds,8.4022,14.1698,"Auberge ""l'amicale"""
236,Santa Cruz,BO,73.45,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
239,Nhulunbuy,AU,83.01,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
240,Kuching,MY,77.22,few clouds,1.55,110.3333,Hilton Kuching
241,Sorong,ID,79.2,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
243,Naze,JP,67.12,overcast clouds,28.3667,129.4833,Shishime Hotel
245,Cabo San Lucas,MX,83.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
248,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
249,Bambous Virieux,MU,76.21,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
251,Isangel,VU,79.74,clear sky,-19.55,169.2667,Tanna Lodge
252,Puerto Leguizamo,CO,71.65,overcast clouds,-0.1934,-74.7819,la casona de juancho
254,Kruisfontein,ZA,62.87,clear sky,-34.0033,24.7314,Oyster Bay House Rental
255,Broome,US,65.17,clear sky,42.2506,-75.833,Chenango Valley State Park
