City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Navahrudak,BY,53.6,25.8333,40.96,71,31,7.96,scattered clouds
1,Busselton,AU,-33.65,115.3333,53.49,66,0,12.28,clear sky
2,Ancud,CL,-41.8697,-73.8203,53.56,92,84,12.33,broken clouds
3,Bluff,NZ,-46.6,168.3333,60.8,81,84,7.49,broken clouds
4,Hobart,AU,-42.8794,147.3294,48.06,95,75,5.75,light intensity shower rain
5,Jamestown,US,42.097,-79.2353,62.53,54,0,5.99,clear sky
6,Matam,SN,15.6175,-13.3303,96.66,15,12,7.05,few clouds
7,Ponta Do Sol,PT,32.6667,-17.1,64.0,75,51,4.27,broken clouds
8,Laguna,US,38.421,-121.4238,77.43,40,0,13.8,clear sky
9,Ariquemes,BR,-9.9133,-63.0408,76.01,85,39,3.36,scattered clouds
10,Yar-Sale,RU,66.8333,70.8333,14.09,82,23,12.41,few clouds
11,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,93,100,19.57,light snow
12,Navirai,BR,-23.065,-54.1906,64.36,82,96,3.76,overcast clouds
13,Puerto Ayora,EC,-0.7393,-90.3518,75.16,87,100,8.72,overcast clouds
14,Mount Gambier,AU,-37.8333,140.7667,47.26,90,73,6.13,broken clouds
15,Port Alfred,ZA,-33.5906,26.891,71.78,47,1,5.91,clear sky
16,Ushuaia,AR,-54.8,-68.3,46.06,66,75,2.3,light intensity drizzle
17,Axim,GH,4.8699,-2.2405,80.78,85,43,7.29,scattered clouds
18,Clyde River,CA,70.4692,-68.5914,25.03,68,0,3.44,clear sky
19,Touros,BR,-5.1989,-35.4608,77.25,90,100,10.65,overcast clouds
20,Ribeira Grande,PT,38.5167,-28.7,63.66,85,99,26.4,light rain
21,Bartlesville,US,36.7473,-95.9808,61.18,88,100,5.75,light rain
22,Bengkulu,ID,-3.8004,102.2655,75.54,88,97,3.85,overcast clouds
23,Rikitea,PF,-23.1203,-134.9692,78.08,82,37,16.17,light rain
24,Saint-Philippe,RE,-21.3585,55.7679,74.79,86,76,15.35,light rain
25,Saskylakh,RU,71.9167,114.0833,25.05,83,100,14.05,overcast clouds
26,New Norfolk,AU,-42.7826,147.0587,47.7,90,100,3.13,heavy intensity rain
27,Severo-Kurilsk,RU,50.6789,156.125,35.58,84,25,6.49,scattered clouds
28,Zhenjiang,CN,32.2092,119.4342,65.8,83,17,1.01,few clouds
29,Cape Town,ZA,-33.9258,18.4232,59.11,88,9,4.16,clear sky
30,Provideniya,RU,64.3833,-173.3,32.36,80,75,4.47,broken clouds
31,Tiksi,RU,71.6872,128.8694,11.07,93,63,5.14,broken clouds
32,Barrow,US,71.2906,-156.7887,15.82,79,100,17.27,overcast clouds
33,Kapaa,US,22.0752,-159.319,80.58,77,100,12.66,overcast clouds
34,Iskateley,RU,67.6803,53.1512,16.77,88,96,9.4,overcast clouds
35,Riyadh,SA,24.6877,46.7219,87.94,16,70,12.08,broken clouds
36,Tuatapere,NZ,-46.1333,167.6833,57.31,77,56,4.14,broken clouds
37,Punta Arenas,CL,-53.15,-70.9167,44.71,81,40,31.07,light intensity shower rain
38,Am Timan,TD,11.0297,20.2827,86.68,49,49,9.66,scattered clouds
39,Hermanus,ZA,-34.4187,19.2345,59.86,93,9,7.18,clear sky
40,Lazarev,RU,52.225,141.5131,34.57,98,100,15.61,light snow
41,Nieuw Amsterdam,SR,5.8833,-55.0833,84.22,79,20,6.91,few clouds
42,Nelson Bay,AU,-32.7167,152.15,62.01,80,59,1.99,broken clouds
43,Yellowknife,CA,62.456,-114.3525,55.92,47,75,10.36,broken clouds
44,Mataura,NZ,-46.1927,168.8643,60.48,74,67,2.55,broken clouds
45,Chitral,PK,35.8462,71.7858,63.07,66,75,1.99,broken clouds
46,Coronel Fabriciano,BR,-19.5186,-42.6289,73.44,100,0,5.75,clear sky
47,Santa Cruz Cabralia,BR,-16.2781,-39.0247,80.83,83,0,8.05,clear sky
48,Hilo,US,19.7297,-155.09,84.27,93,100,6.91,overcast clouds
49,Esperance,AU,-33.8667,121.9,55.18,72,19,8.03,few clouds
50,Salalah,OM,17.0151,54.0924,82.49,89,40,3.44,scattered clouds
51,Albany,US,42.6001,-73.9662,67.35,39,100,1.01,overcast clouds
52,Kahului,US,20.8947,-156.47,80.96,74,40,20.71,scattered clouds
53,Znamenskoye,RU,57.1281,73.8282,47.25,56,57,7.0,broken clouds
54,Pathein,MM,16.7833,94.7333,79.79,76,17,4.74,few clouds
55,Avera,US,33.194,-82.5271,89.11,37,12,4.92,few clouds
56,Koster,ZA,-25.863,26.8976,53.85,44,1,2.8,clear sky
57,Ust-Kuyga,RU,70.0167,135.6,19.9,88,100,3.53,overcast clouds
58,Birin,NP,26.8865,88.0718,60.26,80,91,2.95,overcast clouds
59,Port Elizabeth,ZA,-33.918,25.5701,64.31,56,0,6.91,clear sky
60,Upernavik,GL,72.7868,-56.1549,11.52,89,50,6.08,scattered clouds
61,Aljezur,PT,37.3191,-8.8033,59.0,84,57,7.36,broken clouds
62,Casper,US,42.8666,-106.3131,69.73,35,0,17.27,clear sky
63,Butaritari,KI,3.0707,172.7902,82.33,69,72,17.87,broken clouds
64,Deputatskiy,RU,69.3,139.9,23.2,94,100,2.15,overcast clouds
65,Svolvaer,NO,68.2342,14.5683,42.49,74,100,27.69,overcast clouds
66,Motril,ES,36.7507,-3.5179,63.27,89,0,3.67,clear sky
67,Vardo,NO,70.3705,31.1107,34.05,93,89,19.35,overcast clouds
68,Acurenam,GQ,1.0322,10.6488,69.33,99,100,1.19,moderate rain
69,Mar Del Plata,AR,-38.0023,-57.5575,64.87,67,0,10.36,clear sky
70,Maniitsoq,GL,65.4167,-52.9,28.35,71,1,3.71,clear sky
71,Acarau,BR,-2.8856,-40.12,78.01,87,45,11.07,scattered clouds
72,Vermilion,US,40.1667,-87.7506,56.55,94,100,9.22,overcast clouds
73,Kesinga,IN,20.2,83.2333,82.49,64,6,4.41,clear sky
74,Vaini,TO,-21.2,-175.2,80.76,78,40,3.44,scattered clouds
